Title,Description,Price,Link,Image URL
1949 Ford Deluxe,"Gene Winfield custom 49 mercury, massage seats digital dash 460 chromed engine air ride suspension g ...",Price not available,https://classiccars.com/listings/view/1874385/1949-ford-deluxe-for-sale-in-pearisburg-virginia-24124,Image not available
1988 Toyota Supra,"GARAGE KEPT 3 Liter twin cam, 6 cylinder. 5 speed manual transmission. Power steering, Aluminum allo ...",Price not available,https://classiccars.com/listings/view/1892808/1988-toyota-supra-for-sale-in-venetia-pennsylvania-15367,Image not available
1956 Buick Roadmaster,VIN#C2025154 Southern Car 1 spot of rust on rear bumper ...,Price not available,https://classiccars.com/listings/view/1769013/1956-buick-roadmaster-for-sale-in-fenton-michigan-48430,Image not available
1960 Chrysler 300,This 1960 Chrysler 300F is nearly original with universal maintenance/replacement parts. This beauty ...,63500.0,https://classiccars.com/listings/view/1859263/1960-chrysler-300-for-sale-in-russellville-arkansas-72802,Image not available
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com,Image not available
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/59846131?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel,Image not available
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/59006143?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel,Image not available
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/58900480?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel,Image not available
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/53346872?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel,Image not available
1948 Cadillac Series 62,tinyurl.com/48caddypics Highlight the tiny url and hit return ...,Price not available,https://classiccars.com/listings/view/1809038/1948-cadillac-series-62-for-sale-in-richmond-virginia-23226,Image not available
